trial,trial_dir,lr,batch_size,weight_decay,criterion,threshold,epochs,status,error,valid_iou,best_epoch,at_best_train_loss,at_best_valid_loss,at_best_train_accuracy,at_best_train_precision,at_best_train_f1,at_best_train_recall,at_best_train_iou,at_best_valid_accuracy,at_best_valid_precision,at_best_valid_f1,at_best_valid_recall,at_best_valid_iou
trial_000_lr1em05_bs2_wd0e+00_BinaryCrossEntropy_th0.2,outputs\hyperparam_search_1024\trial_000_lr1em05_bs2_wd0e+00_BinaryCrossEntropy_th0.2,1e-05,2,0.0,BinaryCrossEntropy,0.2,20,ok,,0.9377694312119493,17,0.061822593212127686,0.03603252004832029,0.9708876397874621,0.9015326682603265,0.9334255804549817,0.9683021676934962,0.8760857365050129,0.9813395500183105,0.945303984217935,0.9671094125913348,0.9910494517416609,0.9377694312119493
trial_001_lr1em05_bs2_wd0e+00_Dice_th0.2,outputs\hyperparam_search_1024\trial_001_lr1em05_bs2_wd0e+00_Dice_th0.2,1e-05,2,0.0,Dice,0.2,20,ok,,0.946920888121423,8,0.1582876322997941,0.07012101709842682,0.9704240163167318,0.9095980731074537,0.9306539926885089,0.953659240768189,0.871630351919179,0.9842254638671875,0.9574491898480308,0.9722190128633882,0.987884830614993,0.946920888121423
trial_002_lr1em05_bs2_wd1em04_BinaryCrossEntropy_th0.2,outputs\hyperparam_search_1024\trial_002_lr1em05_bs2_wd1em04_BinaryCrossEntropy_th0.2,1e-05,2,0.0001,BinaryCrossEntropy,0.2,20,ok,,0.9394190376349455,19,0.058819759637117386,0.03828414957970381,0.9712818993462456,0.9010488473841849,0.9350246027916214,0.9721563648452856,0.8788936586374072,0.9802495002746582,0.9474189879136465,0.968200285310355,0.9907145948959679,0.9394190376349455
trial_003_lr1em05_bs2_wd1em04_Dice_th0.2,outputs\hyperparam_search_1024\trial_003_lr1em05_bs2_wd1em04_Dice_th0.2,1e-05,2,0.0001,Dice,0.2,20,ok,,0.9507106688898463,17,0.13285867762234477,0.06493335440754891,0.9743514908684625,0.9222975138266769,0.9417254403019306,0.9624048262105513,0.890547391752267,0.9855712890625,0.9624913823214312,0.9744348733167149,0.987052157035157,0.9507106688898463
trial_004_lr1em05_bs4_wd0e+00_BinaryCrossEntropy_th0.2,outputs\hyperparam_search_1024\trial_004_lr1em05_bs4_wd0e+00_BinaryCrossEntropy_th0.2,1e-05,4,0.0,BinaryCrossEntropy,0.2,20,ok,,0.9559034147347508,7,0.07479894047845966,0.03643707558512688,0.9671232078386389,0.8980003437080558,0.9291455897321537,0.9629786495386662,0.868228084575251,0.9830203851064047,0.9634054438895762,0.9773998029867433,0.9918223886085179,0.9559034147347508
trial_005_lr1em05_bs4_wd0e+00_Dice_th0.2,outputs\hyperparam_search_1024\trial_005_lr1em05_bs4_wd0e+00_Dice_th0.2,1e-05,4,0.0,Dice,0.2,20,ok,,0.9583248366291744,3,0.17066621164912762,0.06710694481929143,0.9682754848314368,0.9021322216320004,0.9256281086182332,0.9509024886904812,0.8625328431604907,0.9830785592397054,0.9697098914433684,0.978657792144801,0.9878600091053816,0.9583248366291744
trial_006_lr1em05_bs4_wd1em04_BinaryCrossEntropy_th0.2,outputs\hyperparam_search_1024\trial_006_lr1em05_bs4_wd1em04_BinaryCrossEntropy_th0.2,1e-05,4,0.0001,BinaryCrossEntropy,0.2,20,ok,,0.9566787896137129,10,0.07145784357967584,0.03434967497984568,0.9656970189965289,0.8868981331568307,0.9247552963745883,0.9665309375036272,0.8610666910208771,0.9834035237630209,0.9640237220892357,0.9778216602264024,0.992037438520602,0.9566787896137129
trial_007_lr1em05_bs4_wd1em04_Dice_th0.2,outputs\hyperparam_search_1024\trial_007_lr1em05_bs4_wd1em04_Dice_th0.2,1e-05,4,0.0001,Dice,0.2,20,ok,,0.9649998028906938,17,0.1327385018053262,0.053495293483138084,0.9741116503010625,0.9218944191804835,0.9416006821898112,0.9623628021946241,0.8899471939703446,0.9867387612660726,0.9741031577994063,0.9821206658080915,0.9903209384394832,0.9649998028906938
trial_008_lr5em05_bs2_wd0e+00_BinaryCrossEntropy_th0.2,outputs\hyperparam_search_1024\trial_008_lr5em05_bs2_wd0e+00_BinaryCrossEntropy_th0.2,5e-05,2,0.0,BinaryCrossEntropy,0.2,20,ok,,0.9454542241704076,11,0.057689019396073286,0.0361998837441206,0.9711694399515788,0.8975613065681378,0.9336687140120704,0.9736275108861329,0.8767791756975768,0.9837270736694336,0.9561565433816768,0.9717907636854083,0.9880614375384911,0.9454542241704076
trial_009_lr5em05_bs2_wd0e+00_Dice_th0.2,outputs\hyperparam_search_1024\trial_009_lr5em05_bs2_wd0e+00_Dice_th0.2,5e-05,2,0.0,Dice,0.2,20,ok,,0.9517372224728293,15,0.12300105169415473,0.07279531583189965,0.976188309987386,0.9266667062726124,0.9449075956296856,0.9642232610685787,0.8962359114015914,0.9848171234130859,0.9629745915773176,0.9750326130497692,0.9877125823128633,0.9517372224728293
